timestamp,field,old_value,new_value,method
ALL,carbon_temporal_granularity,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,renewable_percentage_temporal_granularity,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,renewable_percentage_emission_factor_type,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,carbon_free_percentage_temporal_granularity,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,carbon_free_percentage_emission_factor_type,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,total_load_temporal_granularity,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,total_load_emission_factor_type,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,production_geothermal_MW,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,production_oil_MW,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,production_hydro_discharge_MW,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,production_battery_discharge_MW,ALL_MISSING,DROPPED,remove_uninformative_field
ALL,consumption_geothermal_MW,CONSTANT_ZERO,DROPPED,remove_uninformative_field
2025-01-28T17:00:00+00:00,production_wind_MW,0,127953,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-03-12T16:00:00+00:00,production_wind_MW,0,96736,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-04-08T13:00:00+00:00,production_wind_MW,0,97742,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-05-06T13:00:00+00:00,production_wind_MW,0,95607,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-07-28T21:00:00+00:00,production_wind_MW,0,80456,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-08-05T23:00:00+00:00,production_wind_MW,0,44134,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-09-09T23:00:00+00:00,production_wind_MW,0,51220,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-10-06T18:00:00+00:00,production_wind_MW,0,63702,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-11-05T15:00:00+00:00,production_wind_MW,0,66148,median_of_available_t_minus_168h_t_minus_24h_t_plus_24h_t_plus_168h
2025-01-28T17:00:00+00:00,renewable_percentage,13,24,recalculated_after_wind_imputation_from_available_production_components
2025-03-12T16:00:00+00:00,renewable_percentage,17,26,recalculated_after_wind_imputation_from_available_production_components
2025-04-08T13:00:00+00:00,renewable_percentage,18,26,recalculated_after_wind_imputation_from_available_production_components
2025-05-06T13:00:00+00:00,renewable_percentage,22,29,recalculated_after_wind_imputation_from_available_production_components
2025-07-28T21:00:00+00:00,renewable_percentage,22,27,recalculated_after_wind_imputation_from_available_production_components
2025-08-05T23:00:00+00:00,renewable_percentage,26,29,recalculated_after_wind_imputation_from_available_production_components
2025-09-09T23:00:00+00:00,renewable_percentage,31,34,recalculated_after_wind_imputation_from_available_production_components
2025-10-06T18:00:00+00:00,renewable_percentage,25,29,recalculated_after_wind_imputation_from_available_production_components
2025-11-05T15:00:00+00:00,renewable_percentage,19,24,recalculated_after_wind_imputation_from_available_production_components
2020-04-07T14:00:00+00:00,total_load_MW,MISSING,798201.6699999999,linear_interpolation_between_adjacent_hours
