2026-07-11T09:41:37 carbon_intensity: 2020-01-01T00:00:00Z -> 2020-01-04T00:00:00Z, rows=72
2026-07-11T09:41:43 carbon_intensity: 2020-01-04T00:00:00Z -> 2020-01-07T00:00:00Z, rows=72
2026-07-11T09:41:47 carbon_intensity: 2020-01-07T00:00:00Z -> 2020-01-10T00:00:00Z, rows=72
2026-07-11T09:41:52 carbon_intensity: 2020-01-10T00:00:00Z -> 2020-01-13T00:00:00Z, rows=72
2026-07-11T09:41:56 carbon_intensity: 2020-01-13T00:00:00Z -> 2020-01-16T00:00:00Z, rows=72
2026-07-11T09:42:00 carbon_intensity: 2020-01-16T00:00:00Z -> 2020-01-19T00:00:00Z, rows=72
2026-07-11T09:42:05 carbon_intensity: 2020-01-19T00:00:00Z -> 2020-01-22T00:00:00Z, rows=72
2026-07-11T09:42:09 carbon_intensity: 2020-01-22T00:00:00Z -> 2020-01-25T00:00:00Z, rows=72
2026-07-11T09:42:15 carbon_intensity: 2020-01-25T00:00:00Z -> 2020-01-28T00:00:00Z, rows=72
2026-07-11T09:42:19 carbon_intensity: 2020-01-28T00:00:00Z -> 2020-01-31T00:00:00Z, rows=72
2026-07-11T09:42:22 carbon_intensity: 2020-01-31T00:00:00Z -> 2020-02-03T00:00:00Z, rows=72
2026-07-11T09:42:26 carbon_intensity: 2020-02-03T00:00:00Z -> 2020-02-06T00:00:00Z, rows=72
2026-07-11T09:42:32 carbon_intensity: 2020-02-06T00:00:00Z -> 2020-02-09T00:00:00Z, rows=72
2026-07-11T09:42:36 carbon_intensity: 2020-02-09T00:00:00Z -> 2020-02-12T00:00:00Z, rows=72
2026-07-11T09:42:40 carbon_intensity: 2020-02-12T00:00:00Z -> 2020-02-15T00:00:00Z, rows=72
2026-07-11T09:42:45 carbon_intensity: 2020-02-15T00:00:00Z -> 2020-02-18T00:00:00Z, rows=72
2026-07-11T09:42:50 carbon_intensity: 2020-02-18T00:00:00Z -> 2020-02-21T00:00:00Z, rows=72
2026-07-11T09:42:55 carbon_intensity: 2020-02-21T00:00:00Z -> 2020-02-24T00:00:00Z, rows=72
2026-07-11T09:43:00 carbon_intensity: 2020-02-24T00:00:00Z -> 2020-02-27T00:00:00Z, rows=72
2026-07-11T09:43:05 carbon_intensity: 2020-02-27T00:00:00Z -> 2020-03-01T00:00:00Z, rows=72
2026-07-11T09:43:10 carbon_intensity: 2020-03-01T00:00:00Z -> 2020-03-04T00:00:00Z, rows=72
2026-07-11T09:43:15 carbon_intensity: 2020-03-04T00:00:00Z -> 2020-03-07T00:00:00Z, rows=72
2026-07-11T09:43:20 carbon_intensity: 2020-03-07T00:00:00Z -> 2020-03-10T00:00:00Z, rows=72
2026-07-11T09:43:26 carbon_intensity: 2020-03-10T00:00:00Z -> 2020-03-13T00:00:00Z, rows=72
2026-07-11T09:43:31 carbon_intensity: 2020-03-13T00:00:00Z -> 2020-03-16T00:00:00Z, rows=72
2026-07-11T09:43:36 carbon_intensity: 2020-03-16T00:00:00Z -> 2020-03-19T00:00:00Z, rows=72
2026-07-11T09:43:42 carbon_intensity: 2020-03-19T00:00:00Z -> 2020-03-22T00:00:00Z, rows=72
2026-07-11T09:43:46 carbon_intensity: 2020-03-22T00:00:00Z -> 2020-03-25T00:00:00Z, rows=72
2026-07-11T09:43:51 carbon_intensity: 2020-03-25T00:00:00Z -> 2020-03-28T00:00:00Z, rows=72
2026-07-11T09:43:59 carbon_intensity: 2020-03-28T00:00:00Z -> 2020-03-31T00:00:00Z, rows=72
2026-07-11T09:44:04 carbon_intensity: 2020-03-31T00:00:00Z -> 2020-04-03T00:00:00Z, rows=72
2026-07-11T09:44:11 carbon_intensity: 2020-04-03T00:00:00Z -> 2020-04-06T00:00:00Z, rows=72
2026-07-11T09:44:17 carbon_intensity: 2020-04-06T00:00:00Z -> 2020-04-09T00:00:00Z, rows=72
2026-07-11T09:44:24 carbon_intensity: 2020-04-09T00:00:00Z -> 2020-04-12T00:00:00Z, rows=72
2026-07-11T09:44:28 carbon_intensity: 2020-04-12T00:00:00Z -> 2020-04-15T00:00:00Z, rows=72
2026-07-11T09:44:37 carbon_intensity: 2020-04-15T00:00:00Z -> 2020-04-18T00:00:00Z, rows=72
