timestamp,zone_id,is_estimated,estimation_method,temporal_granularity,updated_at,created_at,production_nuclear_MW,production_geothermal_MW,production_biomass_MW,production_coal_MW,production_wind_MW,production_solar_MW,production_hydro_MW,production_gas_MW,production_oil_MW,production_unknown_MW,production_hydro_discharge_MW,production_battery_discharge_MW,consumption_nuclear_MW,consumption_geothermal_MW,consumption_biomass_MW,consumption_coal_MW,consumption_wind_MW,consumption_solar_MW,consumption_hydro_MW,consumption_gas_MW,consumption_oil_MW,consumption_unknown_MW,consumption_hydro_discharge_MW,consumption_battery_discharge_MW
2020-01-01 00:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-07-08T18:56:44.376Z,2025-10-02T18:41:31.941Z,37409,,13452,530292,81822,31639,71178,24425,,2189,,,37409,0,13452,530292,81822,31639,71178,24425,0,2189,0,0
2020-01-01 01:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:41:31.941Z,2025-10-02T18:41:31.941Z,36286,,13456,528978,72721,48333,67690,24432,,2190,,,36286,0,13456,528978,72721,48333,67690,24432,0,2190,0,0
2020-01-01 02:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:41:31.941Z,2025-10-02T18:41:31.941Z,35198,,13407,524617,72636,64850,67683,24322,,2180,,,35198,0,13407,524617,72636,64850,67683,24322,0,2180,0,0
2020-01-01 03:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:41:31.941Z,2025-10-02T18:41:31.941Z,34142,,13342,517848,83622,69677,69111,24442,,1993,,,34142,0,13342,517848,83622,69677,69111,24442,0,1993,0,0
2020-01-01 04:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,33118,,13252,507439,67672,82830,66793,24129,,1962,,,33118,0,13252,507439,67672,82830,66793,24129,0,1962,0,0
2020-01-01 05:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-27T09:57:34.897Z,2025-10-02T18:54:55.259Z,32124,,13190,514123,62752,81522,67046,24365,,1943,,,32124,0,13190,514123,62752,81522,67046,24365,0,1943,0,0
2020-01-01 06:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31361,,13275,510360,61517,56885,70460,24337,,2055,,,31361,0,13275,510360,61517,56885,70460,24337,0,2055,0,0
2020-01-01 07:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:41:31.941Z,2025-10-02T18:41:31.941Z,31124,,13206,503465,54506,54083,68954,24264,,2097,,,31124,0,13206,503465,54506,54083,68954,24264,0,2097,0,0
2020-01-01 08:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31249,,13419,504606,55191,35322,71062,25078,,2227,,,31249,0,13419,504606,55191,35322,71062,25078,0,2227,0,0
2020-01-01 09:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31317,,13631,513014,52720,21015,75183,25300,,2342,,,31317,0,13631,513014,52720,21015,75183,25300,0,2342,0,0
2020-01-01 10:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:41:31.941Z,2025-10-02T18:41:31.941Z,31269,,13728,518918,57681,3746,78708,26044,,2476,,,31269,0,13728,518918,57681,3746,78708,26044,0,2476,0,0
2020-01-01 11:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31119,,13747,531143,50436,0,81397,26503,,2346,,,31119,0,13747,531143,50436,0,81397,26503,0,2346,0,0
2020-01-01 12:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:53:23.984Z,2025-10-02T18:53:23.984Z,31168,,13474,507556,52169,0,85320,26797,,2318,,,31168,0,13474,507556,52169,0,85320,26797,0,2318,0,0
2020-01-01 13:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31190,,13321,501811,57891,0,84196,26042,,2230,,,31190,0,13321,501811,57891,0,84196,26042,0,2230,0,0
2020-01-01 14:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:41:31.941Z,2025-10-02T18:41:31.941Z,31218,,13239,501640,47265,0,81944,25352,,2156,,,31218,0,13239,501640,47265,0,81944,25352,0,2156,0,0
2020-01-01 15:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:53:23.984Z,2025-10-02T18:53:23.984Z,31292,,13184,498908,51202,0,81401,25242,,2101,,,31292,0,13184,498908,51202,0,81401,25242,0,2101,0,0
2020-01-01 16:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31517,,12970,486478,34267,0,79138,24244,,2163,,,31517,0,12970,486478,34267,0,79138,24244,0,2163,0,0
2020-01-01 17:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31730,,13045,482338,29550,0,73668,22594,,2137,,,31730,0,13045,482338,29550,0,73668,22594,0,2137,0,0
2020-01-01 18:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:41:31.941Z,2025-10-02T18:41:31.941Z,31721,,13045,477559,31861,0,69845,23224,,2091,,,31721,0,13045,477559,31861,0,69845,23224,0,2091,0,0
2020-01-01 19:00:00+00:00,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2025-10-02T18:54:55.259Z,2025-10-02T18:54:55.259Z,31750,,13048,474902,29158,0,68775,23480,,2108,,,31750,0,13048,474902,29158,0,68775,23480,0,2108,0,0
