2026-07-07T15:04:20 carbon_intensity: 2022-01-01T00:00:00Z -> 2022-01-04T00:00:00Z, rows=72
2026-07-07T15:04:24 carbon_intensity: 2022-01-04T00:00:00Z -> 2022-01-07T00:00:00Z, rows=72
2026-07-07T15:04:27 carbon_intensity: 2022-01-07T00:00:00Z -> 2022-01-10T00:00:00Z, rows=72
2026-07-07T15:04:33 carbon_intensity: 2022-01-10T00:00:00Z -> 2022-01-13T00:00:00Z, rows=72
2026-07-07T15:04:36 carbon_intensity: 2022-01-13T00:00:00Z -> 2022-01-16T00:00:00Z, rows=72
2026-07-07T15:04:42 carbon_intensity: 2022-01-16T00:00:00Z -> 2022-01-19T00:00:00Z, rows=72
2026-07-07T15:04:46 carbon_intensity: 2022-01-19T00:00:00Z -> 2022-01-22T00:00:00Z, rows=72
2026-07-07T15:04:52 carbon_intensity: 2022-01-22T00:00:00Z -> 2022-01-25T00:00:00Z, rows=72
2026-07-07T15:04:58 carbon_intensity: 2022-01-25T00:00:00Z -> 2022-01-28T00:00:00Z, rows=72
2026-07-07T15:05:03 carbon_intensity: 2022-01-28T00:00:00Z -> 2022-01-31T00:00:00Z, rows=72
2026-07-07T15:05:08 carbon_intensity: 2022-01-31T00:00:00Z -> 2022-02-03T00:00:00Z, rows=72
2026-07-07T15:05:13 carbon_intensity: 2022-02-03T00:00:00Z -> 2022-02-06T00:00:00Z, rows=72
2026-07-07T15:05:19 carbon_intensity: 2022-02-06T00:00:00Z -> 2022-02-09T00:00:00Z, rows=72
2026-07-07T15:05:24 carbon_intensity: 2022-02-09T00:00:00Z -> 2022-02-12T00:00:00Z, rows=72
2026-07-07T15:05:30 carbon_intensity: 2022-02-12T00:00:00Z -> 2022-02-15T00:00:00Z, rows=72
2026-07-07T15:05:35 carbon_intensity: 2022-02-15T00:00:00Z -> 2022-02-18T00:00:00Z, rows=72
2026-07-07T15:05:40 carbon_intensity: 2022-02-18T00:00:00Z -> 2022-02-21T00:00:00Z, rows=72
2026-07-07T15:05:45 carbon_intensity: 2022-02-21T00:00:00Z -> 2022-02-24T00:00:00Z, rows=72
2026-07-07T15:05:49 carbon_intensity: 2022-02-24T00:00:00Z -> 2022-02-27T00:00:00Z, rows=72
2026-07-07T15:05:54 carbon_intensity: 2022-02-27T00:00:00Z -> 2022-03-02T00:00:00Z, rows=72
2026-07-07T15:05:58 carbon_intensity: 2022-03-02T00:00:00Z -> 2022-03-05T00:00:00Z, rows=72
2026-07-07T15:06:03 carbon_intensity: 2022-03-05T00:00:00Z -> 2022-03-08T00:00:00Z, rows=72
2026-07-07T15:06:08 carbon_intensity: 2022-03-08T00:00:00Z -> 2022-03-11T00:00:00Z, rows=72
2026-07-07T15:06:12 carbon_intensity: 2022-03-11T00:00:00Z -> 2022-03-14T00:00:00Z, rows=72
2026-07-07T15:06:16 carbon_intensity: 2022-03-14T00:00:00Z -> 2022-03-17T00:00:00Z, rows=72
2026-07-07T15:06:21 carbon_intensity: 2022-03-17T00:00:00Z -> 2022-03-20T00:00:00Z, rows=72
2026-07-07T15:06:26 carbon_intensity: 2022-03-20T00:00:00Z -> 2022-03-23T00:00:00Z, rows=72
2026-07-07T15:06:30 carbon_intensity: 2022-03-23T00:00:00Z -> 2022-03-26T00:00:00Z, rows=72
2026-07-07T15:06:40 carbon_intensity: 2022-03-26T00:00:00Z -> 2022-03-29T00:00:00Z, rows=72
2026-07-07T15:06:49 carbon_intensity: 2022-03-29T00:00:00Z -> 2022-04-01T00:00:00Z, rows=72
2026-07-07T15:06:53 carbon_intensity: 2022-04-01T00:00:00Z -> 2022-04-04T00:00:00Z, rows=72
2026-07-07T15:06:57 carbon_intensity: 2022-04-04T00:00:00Z -> 2022-04-07T00:00:00Z, rows=72
2026-07-07T15:07:02 carbon_intensity: 2022-04-07T00:00:00Z -> 2022-04-10T00:00:00Z, rows=72
2026-07-07T15:07:08 carbon_intensity: 2022-04-10T00:00:00Z -> 2022-04-13T00:00:00Z, rows=72
2026-07-07T15:07:13 carbon_intensity: 2022-04-13T00:00:00Z -> 2022-04-16T00:00:00Z, rows=72
2026-07-07T15:07:18 carbon_intensity: 2022-04-16T00:00:00Z -> 2022-04-19T00:00:00Z, rows=72
2026-07-07T15:07:23 carbon_intensity: 2022-04-19T00:00:00Z -> 2022-04-22T00:00:00Z, rows=72
2026-07-07T15:07:28 carbon_intensity: 2022-04-22T00:00:00Z -> 2022-04-25T00:00:00Z, rows=72
2026-07-07T15:07:34 carbon_intensity: 2022-04-25T00:00:00Z -> 2022-04-28T00:00:00Z, rows=72
2026-07-07T15:07:38 carbon_intensity: 2022-04-28T00:00:00Z -> 2022-05-01T00:00:00Z, rows=72
2026-07-07T15:07:42 carbon_intensity: 2022-05-01T00:00:00Z -> 2022-05-04T00:00:00Z, rows=72
2026-07-07T15:07:47 carbon_intensity: 2022-05-04T00:00:00Z -> 2022-05-07T00:00:00Z, rows=72
2026-07-07T15:07:54 carbon_intensity: 2022-05-07T00:00:00Z -> 2022-05-10T00:00:00Z, rows=72
2026-07-07T15:07:58 carbon_intensity: 2022-05-10T00:00:00Z -> 2022-05-13T00:00:00Z, rows=72
2026-07-07T15:08:02 carbon_intensity: 2022-05-13T00:00:00Z -> 2022-05-16T00:00:00Z, rows=72
2026-07-07T15:08:08 carbon_intensity: 2022-05-16T00:00:00Z -> 2022-05-19T00:00:00Z, rows=72
2026-07-07T15:08:12 carbon_intensity: 2022-05-19T00:00:00Z -> 2022-05-22T00:00:00Z, rows=72
2026-07-07T15:08:18 carbon_intensity: 2022-05-22T00:00:00Z -> 2022-05-25T00:00:00Z, rows=72
2026-07-07T15:08:21 carbon_intensity: 2022-05-25T00:00:00Z -> 2022-05-28T00:00:00Z, rows=72
2026-07-07T15:08:28 carbon_intensity: 2022-05-28T00:00:00Z -> 2022-05-31T00:00:00Z, rows=72
2026-07-07T15:08:33 carbon_intensity: 2022-05-31T00:00:00Z -> 2022-06-03T00:00:00Z, rows=72
2026-07-07T15:08:38 carbon_intensity: 2022-06-03T00:00:00Z -> 2022-06-06T00:00:00Z, rows=72
2026-07-07T15:08:45 carbon_intensity: 2022-06-06T00:00:00Z -> 2022-06-09T00:00:00Z, rows=72
2026-07-07T15:08:51 carbon_intensity: 2022-06-09T00:00:00Z -> 2022-06-12T00:00:00Z, rows=72
2026-07-07T15:08:56 carbon_intensity: 2022-06-12T00:00:00Z -> 2022-06-15T00:00:00Z, rows=72
2026-07-07T15:09:01 carbon_intensity: 2022-06-15T00:00:00Z -> 2022-06-18T00:00:00Z, rows=72
2026-07-07T15:09:05 carbon_intensity: 2022-06-18T00:00:00Z -> 2022-06-21T00:00:00Z, rows=72
2026-07-07T15:09:10 carbon_intensity: 2022-06-21T00:00:00Z -> 2022-06-24T00:00:00Z, rows=72
2026-07-07T15:09:16 carbon_intensity: 2022-06-24T00:00:00Z -> 2022-06-27T00:00:00Z, rows=72
