timestamp,zone_id,carbon_intensity_gCO2eq_per_kWh,hour,weekday,month,day_of_year,carbon_is_estimated,carbon_estimation_method,carbon_temporal_granularity,carbon_updated_at,carbon_created_at,carbon_emission_factor_type,renewable_percentage,renewable_percentage_is_estimated,renewable_percentage_estimation_method,renewable_percentage_temporal_granularity,renewable_percentage_updated_at,renewable_percentage_created_at,renewable_percentage_emission_factor_type,carbon_free_percentage,carbon_free_percentage_is_estimated,carbon_free_percentage_estimation_method,carbon_free_percentage_temporal_granularity,carbon_free_percentage_updated_at,carbon_free_percentage_created_at,carbon_free_percentage_emission_factor_type,total_load_MW,total_load_is_estimated,total_load_estimation_method,total_load_temporal_granularity,total_load_updated_at,total_load_created_at,total_load_emission_factor_type,production_nuclear_MW,production_geothermal_MW,production_biomass_MW,production_coal_MW,production_wind_MW,production_solar_MW,production_hydro_MW,production_gas_MW,production_oil_MW,production_unknown_MW,production_hydro_discharge_MW,production_battery_discharge_MW,consumption_nuclear_MW,consumption_geothermal_MW,consumption_biomass_MW,consumption_coal_MW,consumption_wind_MW,consumption_solar_MW,consumption_hydro_MW,consumption_gas_MW,consumption_oil_MW,consumption_unknown_MW,consumption_hydro_discharge_MW,consumption_battery_discharge_MW
2022-01-01 00:00:00+00:00,CN,596,0,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-02-05T11:18:12.033Z,2025-06-30T10:17:56.716Z,lifecycle,23,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-02-05T11:18:12.033Z,2025-06-30T10:17:56.716Z,,27,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-02-05T11:18:12.033Z,2025-06-30T10:17:56.716Z,,977350.56,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-02-05T11:18:12.033Z,2025-06-30T10:17:56.716Z,,45287,,20531,675761,84960,38412,76192,33459,,2297,,,45287,0,20531,675761,84960,38412,76355,33459,0,2585,0,0
2022-01-01 01:00:00+00:00,CN,543,1,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:58.095Z,lifecycle,30,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:58.095Z,,34,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:58.095Z,,965242.4,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:58.095Z,,42611,,20438,606316,99477,95047,72259,26697,,1531,,,42611,0,20438,606316,99477,95047,72572,26697,0,2085,0,0
2022-01-01 02:00:00+00:00,CN,520,2,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,lifecycle,33,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,37,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,1006407.94,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,41817,,20446,604364,112332,122766,76210,26105,,1490,,,41817,0,20446,604364,112332,122766,76533,26105,0,2046,0,0
2022-01-01 03:00:00+00:00,CN,526,3,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,lifecycle,32,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,37,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,987023.75,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,42177,,20336,598729,83360,137925,76274,25951,,1380,,,42177,0,20336,598729,83360,137925,76622,25951,0,1924,0,0
2022-01-01 04:00:00+00:00,CN,510,4,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,lifecycle,34,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,,38,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,,1016288.1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,,41804,,20193,596884,102252,156705,69696,26651,,1410,,,41804,0,20193,596884,102252,156705,69979,26651,0,1819,0,0
2022-01-01 05:00:00+00:00,CN,496,5,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,lifecycle,36,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,,40,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,,1027240.0,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,,41884,,19092,586192,114499,165170,72713,25779,,1414,,,41884,0,19092,586192,114499,165170,72926,25779,0,1698,0,0
2022-01-01 06:00:00+00:00,CN,520,6,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,lifecycle,33,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,,37,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,,979903.8,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,,42441,,19281,587571,97461,129687,75541,26151,,1473,,,42441,0,19281,587571,97461,129687,75669,26151,0,1643,0,0
2022-01-01 07:00:00+00:00,CN,531,7,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,lifecycle,31,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,,36,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,,936942.75,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,,42282,,19248,573611,84826,113327,75800,26056,,1493,,,42282,0,19248,573611,84826,113327,75930,26056,0,1663,0,0
2022-01-01 08:00:00+00:00,CN,561,8,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:58.095Z,lifecycle,27,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:58.095Z,,32,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:58.095Z,,879770.44,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:58.095Z,,41815,,19572,570945,68871,70114,79237,27327,,1596,,,41815,0,19572,570945,68871,70114,79360,27327,0,1766,0,0
2022-01-01 09:00:00+00:00,CN,581,9,5,1,1,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,lifecycle,24,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,29,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,874297.8,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,,41601,,19960,588390,62109,41773,90007,28253,,1711,,,41601,0,19960,588390,62109,41773,90206,28253,0,2006,0,0
