timestamp,carbon_intensity_gCO2eq_per_kWh,zone_id,is_estimated,estimation_method,temporal_granularity,updated_at,created_at,emission_factor_type
2022-01-01 00:00:00+00:00,596,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-02-05T11:18:12.033Z,2025-06-30T10:17:56.716Z,lifecycle
2022-01-01 01:00:00+00:00,543,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:58.095Z,lifecycle
2022-01-01 02:00:00+00:00,520,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,lifecycle
2022-01-01 03:00:00+00:00,526,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,lifecycle
2022-01-01 04:00:00+00:00,510,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,lifecycle
2022-01-01 05:00:00+00:00,496,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 06:00:00+00:00,520,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 07:00:00+00:00,531,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:17:56.716Z,lifecycle
2022-01-01 08:00:00+00:00,561,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:58.095Z,lifecycle
2022-01-01 09:00:00+00:00,581,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:17:56.716Z,lifecycle
2022-01-01 10:00:00+00:00,597,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 11:00:00+00:00,607,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 12:00:00+00:00,615,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 13:00:00+00:00,629,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 14:00:00+00:00,632,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 15:00:00+00:00,616,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 16:00:00+00:00,629,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.224Z,2025-06-30T10:19:09.420Z,lifecycle
2022-01-01 17:00:00+00:00,618,CN,True,GENERAL_PURPOSE_ZONE_MODEL,,2026-01-31T05:22:51.116Z,2025-06-30T10:19:09.420Z,lifecycle
