model,delta_MAE_vs_B0,delta_PR_AUC_vs_B0
B6_combo_B1_B2_B3,-18.704694747924805,-0.0374083404915696
B1_HMM_aux_no_gate,-19.341354370117188,-0.029536488854490894
B5_LightGBM_deep_residual,-10.742612838745117,0.007540427664976201
B5_LightGBM_deep_residual_optimized,-10.742611453437366,0.007540427664976201
B1_seasonal_residual,-18.930768966674805,-0.03495849313084565
B2_long_mlp_compression,-0.21651458740234375,-0.0321024350409157
B3_reduced_HMM_features,-0.9150733947753906,-0.016900643585346375
B0_original_HMM_MRGA_LSTM,0.0,0.0
LGBM-LR-LSTM,,-0.059287086432347647
LGBM-LR-LSTM + Platt,,-0.059287086432347647
LightGBM,-9.864754668059327,-0.018240876506585624
Random Forest,-8.482332798124624,-0.012994977102385397
XGBoost,-9.631481170654297,0.01038347962098174
B7_no_HMM_multiscale_residual,436.2030487060547,-0.06666133945232339
B8_causal_HMM_probability_concat,438.79212951660156,-0.0450459625803335
LightGBM + Isotonic,,-0.04016354046798404
LightGBM + Platt,,-0.018240876506585624
B4_classification_decoupled_direction_checked,,-0.07786157448486314
B4_regression_decoupled_direction_checked,-3.311676025390625,
B9_Markovian_HMM_state_mixture,446.89292907714844,-0.02632806541113064
Logistic Regression,-1.1895637512207031,-0.08423681644671532
B4_classification_decoupled,,-0.07786157448486314
B4_regression_decoupled,-3.311676025390625,
B1_seasonal_residual_threshold_tuned,-18.930768966674805,-0.03495849313084565
B3_reduced_HMM_features_threshold_tuned,-0.9150733947753906,-0.016900643585346375
B5_LightGBM_deep_residual_threshold_tuned,-10.742611453437366,0.007540427664976201
Seasonal Naive,16.550003051757812,
