model,seed,parameters,train_seconds
LGBM-LR-LSTM,42,22003,88.67883419999998
B0_original_HMM_MRGA_LSTM,42,25857,48.00873490000049
B1_seasonal_residual,42,25857,49.76393730000018
B2_long_mlp_compression,42,15072,14.890998100000616
B3_reduced_HMM_features,42,25857,51.85152730000027
B4_regression_decoupled,42,25857,59.02126270000008
B4_classification_decoupled,42,25857,44.46957360000033
B6_combo_B1_B2_B3,42,15072,19.62560720000056
B1_HMM_aux_no_gate,42,25281,45.9786524000001
B7_no_HMM_multiscale_residual,42,22977,190.3271519
B8_causal_HMM_probability_concat,42,24257,172.49728010000035
B9_Markovian_HMM_state_mixture,42,92993,1198.9497714999998
B5_LightGBM_deep_residual,42,15072,14.679884099999981
