feature,issue,value
carbon_temporal_granularity,missing_rate_above_5_percent,1.0
carbon_temporal_granularity,constant_feature,0.0
renewable_percentage_temporal_granularity,missing_rate_above_5_percent,1.0
renewable_percentage_temporal_granularity,constant_feature,0.0
renewable_percentage_emission_factor_type,missing_rate_above_5_percent,1.0
renewable_percentage_emission_factor_type,constant_feature,0.0
carbon_free_percentage_temporal_granularity,missing_rate_above_5_percent,1.0
carbon_free_percentage_temporal_granularity,constant_feature,0.0
carbon_free_percentage_emission_factor_type,missing_rate_above_5_percent,1.0
carbon_free_percentage_emission_factor_type,constant_feature,0.0
total_load_temporal_granularity,missing_rate_above_5_percent,1.0
total_load_temporal_granularity,constant_feature,0.0
total_load_emission_factor_type,missing_rate_above_5_percent,1.0
total_load_emission_factor_type,constant_feature,0.0
production_geothermal_MW,missing_rate_above_5_percent,1.0
production_geothermal_MW,constant_feature,0.0
production_oil_MW,missing_rate_above_5_percent,1.0
production_oil_MW,constant_feature,0.0
production_hydro_discharge_MW,missing_rate_above_5_percent,1.0
production_hydro_discharge_MW,constant_feature,0.0
production_battery_discharge_MW,missing_rate_above_5_percent,1.0
production_battery_discharge_MW,constant_feature,0.0
consumption_geothermal_MW,constant_feature,1.0
consumption_oil_MW,constant_feature,1.0
consumption_hydro_discharge_MW,constant_feature,1.0
consumption_battery_discharge_MW,constant_feature,1.0
