feature,missing_rate,zero_rate,unique_count,mean,std,min,max,dominant_value_rate,is_constant,is_near_constant,pearson_corr_with_target
carbon_temporal_granularity,1.0,0.0,0,,,,,1.0,True,True,
renewable_percentage_temporal_granularity,1.0,0.0,0,,,,,1.0,True,True,
renewable_percentage_emission_factor_type,1.0,0.0,0,,,,,1.0,True,True,
carbon_free_percentage_temporal_granularity,1.0,0.0,0,,,,,1.0,True,True,
carbon_free_percentage_emission_factor_type,1.0,0.0,0,,,,,1.0,True,True,
total_load_temporal_granularity,1.0,0.0,0,,,,,1.0,True,True,
total_load_emission_factor_type,1.0,0.0,0,,,,,1.0,True,True,
production_geothermal_MW,1.0,0.0,0,,,,,1.0,True,True,
production_oil_MW,1.0,0.0,0,,,,,1.0,True,True,
production_hydro_discharge_MW,1.0,0.0,0,,,,,1.0,True,True,
production_battery_discharge_MW,1.0,0.0,0,,,,,1.0,True,True,
consumption_geothermal_MW,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,True,True,
consumption_oil_MW,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,True,True,
consumption_hydro_discharge_MW,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,True,True,
consumption_battery_discharge_MW,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,True,True,
carbon_intensity_gCO2eq_per_kWh,0.0,0.0,364,547.9445425237949,50.14724829789556,284.0,670.0,0.009978507829290759,False,False,1.0
hour,0.0,0.041666666666666664,24,11.5,6.922230830480097,0.0,23.0,0.041666666666666664,False,False,0.3675795683655268
weekday,0.0,0.14276941971139084,7,2.9990789069696038,1.9997822929640099,0.0,6.0,0.14307645072152286,False,False,-0.03850212165461447
month,0.0,0.0,12,6.5741479889468835,3.4233046763709876,1.0,12.0,0.08566165182683451,False,False,-0.1275154644610283
day_of_year,0.0,0.0,366,184.65520417562175,104.67231248848924,1.0,366.0,0.00276327909118821,False,False,-0.1306811462543145
renewable_percentage,0.0,0.0,52,28.682709036946065,6.648655520494632,13.0,64.0,0.07527376931736772,False,False,-0.9934518682314277
carbon_free_percentage,0.0,0.0,50,33.29806314604442,6.515395194551029,18.0,67.0,0.07380257906048511,False,False,-0.998579771518023
total_load_MW,0.0,0.0,77824,953688.0516525945,192710.3710436302,574845.4,1927538.9,3.837887626650292e-05,False,False,-0.663045939399557
production_nuclear_MW,0.0,0.0,28544,43818.186406202025,8653.264199851525,22138.0,62587.0,0.00017910142257701362,False,False,-0.47806593737183434
production_biomass_MW,0.0,0.0,18902,17097.074672500257,5443.469983467564,6832.0,28352.0,0.005999897656329956,False,False,-0.4038964533829146
production_coal_MW,0.0,0.0,69381,597522.1073840958,88464.94209117958,375667.0,931415.0,6.396479377750487e-05,False,False,-0.1509415952779485
production_wind_MW,0.0,0.00011513662879950875,59758,76033.12539658172,46374.56390500195,0.0,453717.0,0.00011513662879950875,False,False,-0.6222932663772393
production_solar_MW,0.0,0.36824531777709546,41953,52824.01764149012,87573.05399999453,0.0,656288.0,0.36824531777709546,False,False,-0.7309037343228709
production_hydro_MW,0.0,0.0,60208,136165.16183092826,43628.01730976136,51159.0,323304.0,8.955071128850681e-05,False,False,-0.32931795090317995
production_gas_MW,0.0,0.0,23250,28032.923881895404,5768.084449745036,8961.0,47997.0,0.00017910142257701362,False,False,-0.19749745634284172
production_unknown_MW,0.0,0.0,2516,2138.3697932657865,453.28997714418773,852.0,3876.0,0.0011769522055060893,False,False,0.5638938273884735
consumption_nuclear_MW,0.0,0.0,28488,43814.249552246445,8652.47213295733,22138.0,62587.0,0.00019189438133251457,False,False,-0.47808423916032816
consumption_biomass_MW,0.0,0.0,18908,17095.60647579572,5443.325734949228,6832.0,28352.0,0.006025483573840958,False,False,-0.4038912002455518
consumption_coal_MW,0.0,0.0,69431,597469.9419071743,88460.6301235356,375667.0,931410.0,6.396479377750487e-05,False,False,-0.15093049452899118
consumption_wind_MW,0.0,0.00011513662879950875,59673,76027.24873349708,46372.79406512467,0.0,453706.0,0.00011513662879950875,False,False,-0.6222855196298843
consumption_solar_MW,0.0,0.36824531777709546,41912,52820.39585252277,87569.53788382474,0.0,656286.0,0.36824531777709546,False,False,-0.7308991417003882
consumption_hydro_MW,0.0,0.0,60158,136209.84682990483,43624.400932012526,51232.0,323289.0,7.675775253300584e-05,False,False,-0.3291258617886475
consumption_gas_MW,0.0,0.0,23269,28030.44149779961,5767.6184968128155,8961.0,47997.0,0.00017910142257701362,False,False,-0.1975008756848376
consumption_unknown_MW,0.0,0.0,2777,2220.416717838502,479.8810128094941,852.0,4256.0,0.0012537099580390953,False,False,0.5613522591419424
hour_sin,0.0,0.041666666666666664,20,-1.3737177737916428e-17,0.7071113042238886,-1.0,1.0,0.08333333333333333,False,False,-0.3554901075217762
hour_cos,0.0,0.0,22,-5.5482745156530954e-17,0.7071113042238886,-1.0,1.0,0.08333333333333333,False,False,-0.1732292291214187
weekday_sin,0.0,0.14276941971139084,7,0.0005393796114982523,0.707233045705558,-0.9749279121818236,0.9749279121818236,0.14307645072152286,False,False,0.05258402774373805
weekday_cos,0.0,0.0,7,0.00012310987654355445,0.7069893253042331,-0.9009688679024191,1.0,0.14307645072152286,False,False,0.03610727440444366
year_sin,0.0,0.0,366,-0.0023967025125841905,0.7098109773208723,-0.9999994220246924,0.9999855506507186,0.00276327909118821,False,False,0.1245330078432825
year_cos,0.0,0.0,366,-0.008864073061608269,0.7043414317959477,-0.9999791929590824,0.9999907524084426,0.00276327909118821,False,False,0.3199723790307227
production_total_MW,0.0,0.0,73520,953630.9670069594,192706.90097485497,574845.0,1927547.0,6.396479377750487e-05,False,False,-0.6632122815183503
coal_share,0.0,0.0,78168,0.6350837716671986,0.062259922076704534,0.3132369983274944,0.7895510937875347,1.2792958755500972e-05,False,False,0.9994469081997779
gas_share,0.0,0.0,78165,0.02954783233797878,0.003683960495081065,0.011314107447951,0.0439706298849797,2.5585917511001945e-05,False,False,0.6190264982759386
wind_share,0.0,0.00011513662879950875,78160,0.07694196325947766,0.03844613741994691,0.0,0.3512870671409807,0.00011513662879950875,False,False,-0.49562307205659967
solar_share,0.0,0.36824531777709546,49384,0.046731109789749474,0.06581699029744688,0.0,0.406008705629519,0.36824531777709546,False,False,-0.7232778375586704
hydro_share,0.0,0.0,78168,0.1454005077558386,0.0440962403911859,0.0460652266447588,0.2933646798627803,1.2792958755500972e-05,False,False,0.01774464140856421
nuclear_share,0.0,0.0,78168,0.046258044868101825,0.006208913270236918,0.0271884134723036,0.0720882475059755,1.2792958755500972e-05,False,False,0.16428719049404028
biomass_share,0.0,0.0,78166,0.017678127993723283,0.0037767814540295886,0.0092816658813256,0.0283180051882297,2.5585917511001945e-05,False,False,-0.04766239065460953
unknown_share,0.0,0.0,78162,0.00235864232793137,0.0007581243229566277,0.0005682932393114,0.0050897890299887,2.5585917511001945e-05,False,False,0.6994906916838817
fossil_share,0.0,0.0,78168,0.6646316040051776,0.06453398656329845,0.3261252120535793,0.8202073136355482,1.2792958755500972e-05,False,False,0.9995656432305886
ci_lag_1h,0.0,0.0,364,547.9457322689592,50.147830866911384,284.0,670.0,0.009978507829290759,False,False,0.9579205559380378
ci_lag_6h,0.0,0.0,364,547.9480222085764,50.14996097735608,284.0,670.0,0.009978507829290759,False,False,0.5945702655440794
ci_lag_24h,0.0,0.0,364,547.9679280524,50.152326794092055,284.0,670.0,0.009978507829290759,False,False,0.9059940259220733
ci_lag_48h,0.0,0.0,364,547.9976333026302,50.15313897491181,284.0,670.0,0.009965714870535257,False,False,0.8672439906472654
ci_lag_72h,0.0,0.0,364,548.0258545696448,50.1543631182986,284.0,670.0,0.009965714870535257,False,False,0.8460813978479458
ci_lag_168h,0.0,0.0,364,548.1441766451745,50.16343459782366,284.0,670.0,0.009940128953024256,False,False,0.8380366714545059
ci_rolling_mean_6h,0.0,0.0,1829,547.9470200934738,47.261034067986806,296.8333333333333,669.0,0.0019573226895916486,False,False,0.8275602364429547
ci_rolling_mean_24h,0.0,0.0,4994,547.9546185779348,40.21273439850396,374.875,648.4166666666666,0.0007419916078190564,False,False,0.7838269347702026
ci_rolling_mean_168h,0.0,0.0,24888,548.0391954173184,38.33801937939037,437.42261904761904,638.3571428571429,0.00021748029884351654,False,False,0.7431024414548084
ci_rolling_mean_720h,0.0,0.0,51279,548.4177180524283,37.01447241201472,465.9861111111111,624.5027777777777,0.00012792958755500973,False,False,0.7102866167347706
ci_rolling_std_24h,0.0,0.0,76358,26.7741309895162,14.844176314640785,4.671064180639419,96.52009440104338,5.117183502200389e-05,False,False,-0.37707109147098544
