feature,missing_rate,zero_rate,unique_count,mean,std,min,max,dominant_value_rate,is_constant,is_near_constant,pearson_corr_with_target
renewable_percentage_temporal_granularity,1.0,0.0,0,,,,,1.0,True,True,
renewable_percentage_emission_factor_type,1.0,0.0,0,,,,,1.0,True,True,
production_geothermal_MW,1.0,0.0,0,,,,,1.0,True,True,
production_hydro_discharge_MW,1.0,0.0,0,,,,,1.0,True,True,
consumption_geothermal_MW,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,True,True,
consumption_hydro_discharge_MW,0.0,1.0,1,0.0,0.0,0.0,0.0,1.0,True,True,
renewable_percentage,0.0,0.0,52,28.682709036946065,6.648655520494632,13.0,64.0,0.07527376931736772,False,False,-0.9934518682314277
production_biomass_MW,0.0,0.0,18902,17097.074672500257,5443.469983467564,6832.0,28352.0,0.005999897656329956,False,False,-0.4038964533829146
production_wind_MW,0.0,0.00011513662879950875,59758,76033.12539658172,46374.56390500195,0.0,453717.0,0.00011513662879950875,False,False,-0.6222932663772393
production_solar_MW,0.0,0.36824531777709546,41953,52824.01764149012,87573.05399999453,0.0,656288.0,0.36824531777709546,False,False,-0.7309037343228709
production_hydro_MW,0.0,0.0,60208,136165.16183092826,43628.01730976136,51159.0,323304.0,8.955071128850681e-05,False,False,-0.32931795090317995
consumption_biomass_MW,0.0,0.0,18908,17095.60647579572,5443.325734949228,6832.0,28352.0,0.006025483573840958,False,False,-0.4038912002455518
consumption_wind_MW,0.0,0.00011513662879950875,59673,76027.24873349708,46372.79406512467,0.0,453706.0,0.00011513662879950875,False,False,-0.6222855196298843
consumption_solar_MW,0.0,0.36824531777709546,41912,52820.39585252277,87569.53788382474,0.0,656286.0,0.36824531777709546,False,False,-0.7308991417003882
consumption_hydro_MW,0.0,0.0,60158,136209.84682990483,43624.400932012526,51232.0,323289.0,7.675775253300584e-05,False,False,-0.3291258617886475
wind_share,0.0,0.00011513662879950875,78160,0.07694196325947766,0.03844613741994691,0.0,0.3512870671409807,0.00011513662879950875,False,False,-0.49562307205659967
solar_share,0.0,0.36824531777709546,49384,0.046731109789749474,0.06581699029744688,0.0,0.406008705629519,0.36824531777709546,False,False,-0.7232778375586704
hydro_share,0.0,0.0,78168,0.1454005077558386,0.0440962403911859,0.0460652266447588,0.2933646798627803,1.2792958755500972e-05,False,False,0.01774464140856421
biomass_share,0.0,0.0,78166,0.017678127993723283,0.0037767814540295886,0.0092816658813256,0.0283180051882297,2.5585917511001945e-05,False,False,-0.04766239065460953
