K,seed,log_likelihood,AIC,BIC,min_state_share
5,147,-131599.0805675359,263386.1611350718,264239.8709647235,0.15332656326932545
5,123,-131602.38935266694,263392.7787053339,264246.48853498563,0.15481905465288034
5,159,-131611.23341287297,263410.46682574594,264264.1766553977,0.15640386509108814
5,183,-132033.5947151052,264255.1894302104,265108.89925986214,0.16763601674052192
5,55,-132296.29061603607,264780.58123207215,265634.2910617239,0.1491106597735106
5,171,-132906.84921710062,266001.69843420124,266855.408263853,0.15811176760216641
5,68,-143309.41661154368,286806.83322308736,287660.5430527391,0.1410635155096012
5,29,-143376.66385455139,286941.32770910277,287795.0375387545,0.13780157557853273
5,99,-143591.13098441222,287370.26196882443,288223.9717984762,0.042989906450024616
5,21,-143631.97933763964,287451.9586752793,288305.66850493103,0.11495260955194485
4,42,-143810.94661334416,287763.8932266883,288408.7166086593,0.202424913835549
4,219,-143810.94725388326,287763.8945077665,288408.7178897375,0.202424913835549
4,68,-143991.11437676742,288124.22875353484,288769.05213550583,0.20470211718365336
4,195,-144009.60356357595,288161.2071271519,288806.0305091229,0.19271602658788775
5,111,-143910.16268143553,288008.32536287105,288862.0351925228,0.07360905957656327
4,13,-144219.41850490382,288580.83700980764,289225.6603917786,0.1844996307237814
5,42,-144417.56472588162,289023.12945176323,289876.839281415,0.14115583456425407
5,207,-145187.15965753348,290562.31931506697,291416.0291447187,0.1449716888232398
5,195,-145442.62440453633,291073.24880907265,291926.9586387244,0.13309330379123585
4,171,-145720.8421317885,291583.684263577,292228.507645548,0.18526895617922207
4,7,-145725.2417893622,291592.4835787244,292237.30696069536,0.18483813392417528
5,1,-145674.2729795465,291536.545959093,292390.2557887448,0.158311792220581
5,13,-145727.75427778278,291643.50855556555,292497.2183852173,0.11746061053668144
4,29,-145904.94988792072,291951.89977584145,292596.72315781243,0.17334441161989167
4,111,-145906.7123493866,291955.4246987732,292600.2480807442,0.1747599704579025
4,81,-145909.15735637708,291960.31471275416,292605.13809472515,0.18040681930083702
5,7,-150737.41853718855,301662.8370743771,302516.54690402886,0.12724643032988675
5,135,-151158.52088163758,302505.04176327516,303358.7515929269,0.1308468734613491
5,219,-159822.36908582735,319832.7381716547,320686.44800130645,0.12755416051206303
4,55,-160303.46579032834,320748.9315806567,321393.75496262766,0.18754615952732645
4,207,-160352.53157707534,320847.0631541507,321491.88653612166,0.1925621614967996
4,135,-160401.84825231403,320945.69650462805,321590.51988659904,0.18908481043820777
4,159,-160534.0481622873,321210.0963245746,321854.9197065456,0.19525480059084194
4,123,-160728.56964017902,321599.13928035804,322243.962662329,0.12647710487444608
3,159,-161089.76801609164,322279.53603218327,322733.6370054023,0.2531080748399803
3,68,-161089.8463236244,322279.6926472488,322733.7936204678,0.25313884785819796
3,13,-161090.04343239038,322280.08686478075,322734.1878379998,0.2531080748399803
3,147,-161090.16210944144,322280.3242188829,322734.4251921019,0.25313884785819796
3,55,-161090.19389808484,322280.38779616967,322734.4887693887,0.2530003692762186
3,7,-161090.21100086332,322280.42200172663,322734.52297494566,0.2530003692762186
3,29,-161090.28441465684,322280.5688293137,322734.6698025327,0.2530003692762186
3,171,-161090.2978666985,322280.595733397,322734.696706616,0.2530003692762186
3,21,-161090.32875358502,322280.65750717005,322734.7584803891,0.2530003692762186
3,195,-161090.48998295315,322280.9799659063,322735.0809391253,0.2529849827671098
3,1,-161174.87376191013,322449.74752382026,322903.8484970393,0.24829209748892173
4,1,-161067.61488802783,322277.22977605567,322922.05315802665,0.18385339734121123
4,183,-161067.7855529581,322277.5711059162,322922.3944878872,0.17696024126046284
3,135,-161228.43703397174,322556.8740679435,323010.9750411625,0.25226181683899557
3,123,-161457.2238086105,323014.447617221,323468.54859044,0.25830871491875923
4,21,-161470.01317493035,323082.0263498607,323726.8497318317,0.2011632200886263
5,81,-161451.86996268408,323091.73992536817,323945.4497550199,0.17086718365337272
3,81,-161765.94292651935,323631.8858530387,324085.9868262577,0.26363244707040867
4,99,-162136.9480736745,324415.896147349,325060.71952931996,0.1453255785327425
3,219,-162359.17805214465,324818.3561042893,325272.4570775083,0.2072716642048252
4,147,-162634.25434080503,325410.50868161005,326055.33206358104,0.1529419005416051
3,183,-184305.82998416488,368711.65996832977,369165.7609415488,0.2901895617922206
3,111,-184321.0277688672,368742.0555377344,369196.15651095344,0.28958948793697686
3,42,-184820.46697709977,369740.93395419954,370195.0349274186,0.21187223042836043
3,207,-184828.70998381302,369757.41996762605,370211.5209408451,0.21419559330379123
3,99,-184942.7327957658,369985.4655915316,370439.5665647506,0.28783542589857214
