model,horizon,MAE,RMSE
Seasonal Naive,1,0.0,0.0
Seasonal Naive,2,17.19434356689453,22.640073697135325
Seasonal Naive,3,28.416851043701172,37.74624231090758
Seasonal Naive,4,37.795997619628906,50.785199365655494
Seasonal Naive,5,46.763877868652344,61.735604897898064
Seasonal Naive,6,55.81705856323242,71.11738274786447
Seasonal Naive,7,63.95577621459961,79.44712520365353
Seasonal Naive,8,70.70836639404297,86.33167837709544
Seasonal Naive,9,75.59618377685547,91.33732978634748
Seasonal Naive,10,79.24263763427734,94.47083296578897
Seasonal Naive,11,81.51739501953125,96.26892062407784
Seasonal Naive,12,82.34202575683594,97.25183260644758
Seasonal Naive,13,82.10613250732422,97.49602355673281
Seasonal Naive,14,82.19120025634766,97.44325271664529
Seasonal Naive,15,81.4512939453125,96.65776045538196
Seasonal Naive,16,79.06039428710938,95.034748990172
Seasonal Naive,17,75.47643280029297,92.18017449708208
Seasonal Naive,18,70.89212036132812,87.54335979244799
Seasonal Naive,19,64.85115814208984,81.19354709485077
Seasonal Naive,20,57.54625701904297,73.48884176037373
Seasonal Naive,21,49.67031478881836,64.95037167907509
Seasonal Naive,22,42.0576057434082,55.32240818742664
Seasonal Naive,23,34.582916259765625,44.898198923804976
Seasonal Naive,24,27.07284927368164,35.23902061946033
LightGBM,1,13.41362961853718,17.64893027228036
LightGBM,2,18.698128714063323,24.38073461256586
LightGBM,3,22.688675637851702,29.886527118978158
LightGBM,4,25.89567879931992,34.298241007042826
LightGBM,5,28.94913337669841,38.27266145675957
LightGBM,6,31.84335842370322,41.98127688566648
LightGBM,7,34.487773565112015,45.18579745157728
LightGBM,8,36.20713661382185,47.321837146680416
LightGBM,9,37.22472258092982,48.056539743181226
LightGBM,10,37.641547319204896,48.53964058615823
LightGBM,11,37.83488993816349,49.15134517128006
LightGBM,12,38.01767220981129,49.52849244580808
LightGBM,13,38.892797593871364,50.400142326916225
LightGBM,14,38.75054261226095,50.37618831562238
LightGBM,15,38.23459355703404,49.521100516886456
LightGBM,16,37.88672309819083,48.98852147884638
LightGBM,17,36.350053641407264,47.04669542507115
LightGBM,18,34.227717623263565,44.61713375968023
LightGBM,19,31.86451521499541,41.855419269951476
LightGBM,20,29.681782397291816,38.975850695541794
