model,MAE,RMSE,MAPE,R2,threshold,Precision,Recall,F1,ROC_AUC,PR_AUC
B1_seasonal_residual,24.46851921081543,32.46125620330912,5.05788516998291,0.7141791582107544,0.5,0.6110744891232696,0.428175519630485,0.503530689842477,0.7996909809996968,0.5829889785584867
B1_seasonal_residual_threshold_tuned,24.46851921081543,32.46125620330912,5.05788516998291,0.7141791582107544,0.4,0.5057685150725716,0.6277136258660508,0.5601813685078318,0.7996909809996968,0.5829889785584867
B1_HMM_aux_no_gate,24.605953216552734,32.702856245909544,5.08523416519165,0.7099087238311768,0.5,0.5138888888888888,0.5468822170900692,0.5298724546878496,0.8104008013440046,0.5814752873853255
B6_combo_B1_B2_B3,24.959264755249023,33.09277434527343,5.165048122406006,0.7029499411582947,0.5,0.5718201754385965,0.48175519630484986,0.5229380797192279,0.7796952492774827,0.5631696545447566
B5_LightGBM_deep_residual_optimized,31.01961718175868,41.5692596879967,6.875554895644767,0.5312860508857369,0.5,0.5929375242530074,0.7057736720554273,0.6444538169548714,0.8660898264089988,0.6591791195743091
B5_LightGBM_deep_residual_threshold_tuned,31.01961718175868,41.5692596879967,6.875554895644767,0.5312860508857369,0.45000000000000007,0.5703262013328657,0.7510392609699769,0.6483253588516746,0.8660898264089988,0.6591791195743091
LightGBM,31.077646299036054,41.639351687210514,6.889591113157084,0.5297040744145736,0.5,0.5593398876404494,0.7357967667436489,0.6355475763016158,0.8487401035596286,0.6197427930812941
B5_LightGBM_deep_residual,31.250009536743164,41.660452010494915,6.901034832000732,0.5292273163795471,0.5,0.5929375242530074,0.7057736720554273,0.6444538169548714,0.8660898264089988,0.6591791195743091
B4_regression_decoupled,45.265342712402344,59.02865473715393,9.984292030334473,0.05487537384033203,0.5,0.25194926102641685,1.0,0.40249116936233503,0.4485289172227165,0.2185154427194263
B2_long_mlp_compression,46.26522445678711,61.14086458552598,10.351390838623047,-0.013973116874694824,0.5,0.5582959641255605,0.5750577367205543,0.5665529010238908,0.8106227302319098,0.5900510083873601
B3_reduced_HMM_features_threshold_tuned,47.182125091552734,62.64167731094152,10.519763946533203,-0.06436371803283691,0.35,0.46220245880198796,0.8161662817551963,0.5901803607214429,0.8159928200956842,0.5930573769961456
B3_reduced_HMM_features,47.182125091552734,62.64167731094152,10.519763946533203,-0.06436371803283691,0.5,0.5822498586772188,0.47575057736720555,0.5236400610066091,0.8159928200956842,0.5930573769961456
B0_original_HMM_MRGA_LSTM,51.09136199951172,66.41380839337931,11.387452125549316,-0.19641005992889404,0.5,0.5719534598897734,0.4314087759815243,0.4918378093733544,0.7753772827022656,0.5625862683738129
Seasonal Naive,57.762882232666016,76.1602218650343,12.25852108001709,-0.5733295679092407,0.5,0.0,0.0,0.0,0.5,0.25194926102641685
B4_classification_decoupled,63.64590835571289,81.69673460617933,14.152169227600098,-0.8103923797607422,0.5,0.38974530831099197,0.5371824480369515,0.45173820159254224,0.6949410848323803,0.42056785542817243
